fid_score,g_lr,d_lr
1458.8612534716206,0.0003,0.0003
2276.736082566995,0.0001,0.0001
2282.0949789161086,0.0002,0.0001
2574.720875766562,0.0002,0.0002
2682.961968505735,0.0001,0.0002
