weight_decay,batch_size,lr,momentum,optimizer,accuracy,recall,precision,f1,roc_auc,val_loss
1e-05,32,0.001,0.9,AdamW,0.9023529411764706,0.52,0.5977011494252874,0.5561497326203209,0.9105644444444445,0.24462288856506348
0.001,32,0.0001,0.9,SGD,0.875686274509804,0.06,0.33962264150943394,0.10198300283286119,0.7520444444444445,0.33361841718355817
0.0,64,0.0001,0.8,Adam,0.9192156862745098,0.4666666666666667,0.7526881720430108,0.5761316872427984,0.9059955555555554,0.22602930663847456
0.001,64,0.0001,0.8,Adam,0.9113725490196078,0.4,0.7228915662650602,0.5150214592274678,0.8975407407407408,0.23138015897835001
1e-05,64,0.0001,0.8,RMSprop,0.9203921568627451,0.5333333333333333,0.7174887892376681,0.6118546845124283,0.9314222222222224,0.20295036867553112
0.001,64,0.1,0.8,Adam,0.8823529411764706,0.0033333333333333335,0.5,0.006622516556291391,0.8243970370370369,0.3239289367198944
0.0,32,0.0001,0.95,Adam,0.9109803921568628,0.41,0.7109826589595376,0.5200845665961945,0.906717037037037,0.22261229652984468
0.0,32,0.001,0.8,RMSprop,0.8866666666666667,0.3466666666666667,0.5279187817258884,0.41851106639839036,0.8704785185185185,0.28540727180593156
0.0001,32,0.0001,0.8,Adam,0.9160784313725491,0.4266666666666667,0.7529411764705882,0.5446808510638298,0.9126059259259258,0.2218872639244678
0.001,32,0.001,0.95,Adam,0.8972549019607843,0.2833333333333333,0.6439393939393939,0.39351851851851855,0.8862325925925926,0.2524089998357436
