epoch,generator_loss,discriminator_loss,discriminator_real,discriminator_fake,fid_score,is_score_mean,is_score_std
0,-0.07744841987178439,201.6975555419922,-0.07500045294208187,0.07744841987178439,1656.7166249700774,1.0772120952606201,0.0063492716290056705
1,-0.0374519449791738,22.085833347979047,-0.0029358388412566412,0.0374519449791738,,,
2,-0.02521988811592261,17.83617778051467,-0.012690628213541848,0.02521988811592261,,,
3,-0.010608291475191003,15.105673980145227,-0.013291934948591958,0.010608291475191003,,,
4,-0.029219580725544973,5.703476911499386,-0.06881636203754515,0.029219580725544973,,,
5,0.00026881748012134006,20.72313608442034,-0.013539569363707588,-0.00026881748012134006,,,
6,0.03072510654151085,11.69929609128407,-0.002474225104032528,-0.03072510654151085,,,
7,0.008069064290750595,4.111845064021292,0.007971322108503608,-0.008069064290750595,,,
8,0.0036872231534549166,2.614923749651228,-0.011107347373451506,-0.0036872231534549166,,,
9,-0.005128689465068635,2.5960707380658103,-0.023850199012529282,0.005128689465068635,,,
10,-0.022963147876518115,2.733733138867787,-0.04160477269795679,0.022963147876518115,,,
11,-0.04206376363124166,1.5546260064556485,-0.08098556456111726,0.04206376363124166,,,
12,-0.05077167884224937,1.9042268906320845,-0.08027247091134389,0.05077167884224937,,,
13,0.00420437753200531,2.259969725495293,-0.012084894414458956,-0.00420437753200531,,,
14,-0.00792266180117925,2.3570907513300576,-0.022294171686683382,0.00792266180117925,,,
15,0.005291859308878581,2.4005358332679387,-0.010410460333029429,-0.005291859308878581,,,
16,-0.020361717452206426,1.6272992676212674,-0.04811311832496098,0.020361717452206426,,,
17,-0.010487031635074388,3.6948187039012,-0.02662769793754532,0.010487031635074388,,,
18,0.02307728376416933,7.640055151212783,-0.009006201600035032,-0.02307728376416933,,,
19,0.008176899736835844,2.3545978793076108,-0.0012621450781201322,-0.008176899736835844,,,
20,0.027957242492231586,1.7094598547333764,-0.01152845808038754,-0.027957242492231586,,,
21,0.018782667981992875,3.1059193369888125,-0.024680719561209635,-0.018782667981992875,,,
22,0.020849932960811116,1.0333579026517414,-0.007509843731809053,-0.020849932960811116,,,
23,0.007434261696679252,4.21213543840817,0.003671080705576709,-0.007434261696679252,,,
24,0.03691864490420336,0.9120705156099229,-0.021951221999534892,-0.03691864490420336,,,
