fid_score,g_lr,d_lr
1275.39040770054,0.0001,0.0001
1392.3560621825698,0.0003,0.0003
1695.835177829933,0.0002,0.0002
1709.1916914188746,0.0001,0.0002
2140.596159689281,0.0002,0.0001
