Metric,Source (Synthetic),Target (Real),Domain Gap
accuracy,1.0,0.39294117647058824,0.6070588235294118
precision,1.0,0.15562913907284767,0.8443708609271523
recall,1.0,0.94,0.06000000000000005
f1,1.0,0.26704545454545453,0.7329545454545454
specificity,1.0,0.32,0.6799999999999999
sensitivity,1.0,0.94,0.06000000000000005
roc_auc,1.0,0.6221762962962962,0.3778237037037038
pr_auc,1.0,0.15563126367463437,0.8443687363253656
