weight_decay,batch_size,lr,momentum,optimizer,accuracy,recall,precision,f1,roc_auc,val_loss
0.0001,32,0.1,0.8,SGD,0.9062745098039215,0.47333333333333333,0.6367713004484304,0.5430210325047801,0.9070814814814815,0.23448064023373175
0.0001,64,0.0001,0.9,RMSprop,0.9105882352941177,0.47,0.6714285714285714,0.5529411764705883,0.9144370370370369,0.22309753991809544
0.0,32,0.001,0.9,RMSprop,0.8847058823529412,0.11666666666666667,0.546875,0.19230769230769232,0.8777259259259259,0.26613150288076964
0.0001,64,0.001,0.9,AdamW,0.9141176470588235,0.42,0.7368421052631579,0.535031847133758,0.9217244444444446,0.23303024849470924
1e-05,64,0.0001,0.8,RMSprop,0.9152941176470588,0.36,0.8181818181818182,0.5,0.9273451851851852,0.2290515805576362
0.001,32,0.01,0.8,SGD,0.908235294117647,0.43,0.671875,0.524390243902439,0.9053918518518519,0.22282281980795018
0.001,32,0.001,0.95,RMSprop,0.8807843137254902,0.03,0.4090909090909091,0.055900621118012424,0.8600192592592593,0.28060552973373265
0.0001,64,0.01,0.8,RMSprop,0.8721568627450981,0.15333333333333332,0.3898305084745763,0.22009569377990432,0.7954992592592594,0.3172253599120121
0.0,64,0.01,0.8,Adam,0.8776470588235294,0.5166666666666667,0.4813664596273292,0.4983922829581994,0.8790133333333333,0.29381541581714854
0.001,32,0.1,0.9,SGD,0.9137254901960784,0.44333333333333336,0.7150537634408602,0.5473251028806584,0.922845925925926,0.2236994950911578
