Metric,Source (Synthetic),Target (Real),Domain Gap
accuracy,0.9999259259259259,0.8823529411764706,0.11757298474945532
precision,1.0,0.0,1.0
recall,0.9996666666666667,0.0,0.9996666666666667
f1,0.9998333055509252,0.0,0.9998333055509252
specificity,1.0,1.0,0.0
sensitivity,0.9996666666666667,0.0,0.9996666666666667
roc_auc,0.9999998095238095,0.3850888888888889,0.6149109206349206
pr_auc,0.9999993345533005,0.09046608349712808,0.9095332510561724
