epoch,generator_loss,discriminator_loss,discriminator_real,discriminator_fake,fid_score,is_score_mean,is_score_std
0,54.27646962032523,88.38243350162301,0.9869938357432764,0.2554264953948297,1720.7834568404342,1.2526828050613403,0.0656372532248497
1,21.62323467193111,31.984691768564204,0.8415093369461516,0.034301807978741265,,,
2,11.838132107129661,20.5785649617513,0.8585523005014145,0.05601229673841097,,,
3,8.405243830014301,15.290142087526219,0.8520908558250515,0.04736087957499749,,,
4,6.398387739735265,12.120104994825137,0.9305419204255907,0.027225677364615983,,,
5,5.088039302056836,9.580606237534553,0.9025139908396429,0.06643297023738244,,,
6,4.456388655529227,8.238761777518897,0.8881123266232911,0.06985778943885879,,,
7,4.323167982921805,6.702171898657276,0.8412699498316293,0.05184117854843216,,,
8,3.9535096358227473,5.460583800910621,0.8756915647336232,0.08185116229444286,,,
9,3.500613776586389,4.617495971341287,0.8305935963828076,0.07869216418005205,,,
10,3.1423104943767672,4.143569236160607,0.8549820358554522,0.1085044239774116,,,
11,2.727187607877998,3.885257386392163,0.8065006469366371,0.12793631028112962,,,
12,2.061804340090803,3.085801386064099,0.8242490563982277,0.1364663733076805,,,
13,1.8253531353448027,2.949758892418236,0.8267671911306279,0.13362458379830763,,,
14,1.5926140501934996,2.8193408013671957,0.828950525772187,0.15221029353798718,,,
15,1.3426719599513597,2.1924337235189255,0.7833491868229323,0.22976295465618493,,,
16,1.1351744333902996,2.1507517397403717,0.7525227935083451,0.25582857976006645,,,
17,1.1422247027838102,1.9676791903793172,0.7478120030574901,0.25900443814074,,,
18,1.126936330910652,2.0101420116680924,0.7701107367712964,0.25963656566235965,,,
19,1.0772900658269082,1.6542770885011202,0.770969513603436,0.23409430642602264,,,
20,1.0168461123461365,1.6697145504977113,0.786619510181168,0.2223758584048639,,,
21,0.9761441500597102,1.6007358904487343,0.7869836143268052,0.22260297458338482,,,
22,0.963396115328676,1.560973626471335,0.7855245777035272,0.23196711080769697,,,
23,1.1825421380419885,1.8400600536536145,0.7122308322258534,0.31993627321896373,,,
24,1.171859194194117,1.7158646615602637,0.6422620660835697,0.34573706059205916,,,
