Metric,Source (Synthetic),Target (Real),Domain Gap
accuracy,0.999922480620155,0.3050980392156863,0.6948244414044686
precision,0.9995835068721366,0.132,0.8675835068721366
recall,1.0,0.88,0.12
f1,0.9997917100604041,0.22956521739130434,0.7702264926690998
specificity,0.9999047619047619,0.22844444444444445,0.7714603174603174
sensitivity,1.0,0.88,0.12
roc_auc,0.9999999206349207,0.5054044444444444,0.4945954761904763
pr_auc,0.9999996527777476,0.11860653673417687,0.8813931160435707
