fid_score,g_lr,d_lr
1415.9786124824502,0.0002,0.0001
1454.8494067793706,0.0001,0.0001
1567.3681379128216,0.0003,0.0003
1608.1679706746331,0.0001,0.0002
1704.1162736575452,0.0002,0.0002
