epoch,generator_loss,discriminator_loss,discriminator_real,discriminator_fake,fid_score,is_score_mean,is_score_std
0,2.402668706033119,0.1818451357377303,2.8580678968235502,-2.402668706033119,1367.375943880689,1.8754956722259521,0.16172842681407928
1,1.3831725806690927,0.6659148605756982,2.2102226961057547,-1.3831725806690927,,,
2,0.7129905840685201,1.2297078745309697,0.6942791163401548,-0.7129905840685201,,,
3,0.928520190161328,0.9093472028887549,1.3013612087382826,-0.928520190161328,,,
4,1.021386556847151,0.7140899605529253,1.6762235247811605,-1.021386556847151,,,
5,0.9838936529880347,0.8303278656892998,1.3004683471003244,-0.9838936529880347,,,
6,0.957405568555344,0.801109042278556,1.450528229391852,-0.957405568555344,,,
7,0.9179155355276063,0.9334597116292909,0.9711105269055034,-0.9179155355276063,,,
8,0.712795786732851,1.0713053110033968,0.6607228108616763,-0.712795786732851,,,
9,0.6879664271376854,1.083178136237832,0.6158238209264223,-0.6879664271376854,,,
10,0.7087227625902309,1.0911568916121195,0.6153488883445429,-0.7087227625902309,,,
11,0.6991197224273238,1.0971870852071186,0.6524923457655796,-0.6991197224273238,,,
12,0.6867553446181985,1.1037102826806002,0.6196645089360171,-0.6867553446181985,,,
13,0.7023126288901927,1.0802095504694207,0.6410480897093929,-0.7023126288901927,,,
14,0.7209229455437771,1.0381225832673007,0.7122516049895176,-0.7209229455437771,,,
15,0.803858048001001,0.8985295780869418,0.8398723373579424,-0.803858048001001,,,
16,0.9055168115815451,0.786833431831626,0.9735501574915509,-0.9055168115815451,,,
17,0.930759438941645,0.7219860830972361,1.0709217149157857,-0.930759438941645,,,
18,1.017720032569974,0.694602276003638,1.0822135196175686,-1.017720032569974,,,
19,1.0526793585267178,0.6248533337615257,1.1242591322854507,-1.0526793585267178,,,
20,1.1667094715805941,0.5731301217578179,1.190730746402297,-1.1667094715805941,,,
21,1.1983515398446904,0.5513587801955467,1.1923456386078235,-1.1983515398446904,,,
22,1.2469280930452569,0.5356291671131932,1.2282557778580243,-1.2469280930452569,,,
23,1.2154209683107775,0.5076546287813852,1.3003189438997313,-1.2154209683107775,,,
24,1.2030252148938734,0.5289057895194652,1.2556041603864625,-1.2030252148938734,,,
