Metric,Source (Synthetic),Target (Real),Domain Gap
accuracy,0.955968992248062,0.13058823529411764,0.8253807569539443
precision,0.8921232876712328,0.11858336649423,0.7735399211770029
recall,0.8683333333333333,0.9933333333333333,-0.125
f1,0.8800675675675675,0.2118734447209385,0.668194122846629
specificity,0.976,0.015555555555555555,0.9604444444444444
sensitivity,0.8683333333333333,0.9933333333333333,-0.125
roc_auc,0.9872236904761904,0.38293481481481484,0.6042888756613756
pr_auc,0.9546265309906046,0.08951543972092846,0.8651110912696761
