fid_score,g_lr,d_lr
1016.0601086741163,0.0002,0.0001
1022.9286104221774,0.0001,0.0001
1034.6633603561797,0.0003,0.0003
1290.585176203379,0.0001,0.0002
1364.1723344944608,0.0002,0.0002
