epoch,generator_loss,discriminator_loss,discriminator_real,discriminator_fake,fid_score,is_score_mean,is_score_std
0,2.130360358140685,0.4201303288890896,1.777449143500152,-2.130360358140685,1276.5242057760167,2.093297243118286,0.09155736118555069
1,2.4258727431297302,0.06379174134186046,3.258771235292608,-2.4258727431297302,,,
2,2.1591118411584334,0.09603468658910556,3.706869678063826,-2.1591118411584334,,,
3,1.6176505210724743,0.20363641767339272,6.771132230758667,-1.6176505210724743,,,
4,1.866591047156941,0.12399255475876006,10.548277378082275,-1.866591047156941,,,
5,1.6436554789543152,0.5428868386555802,4.829057656228542,-1.6436554789543152,,,
6,1.0148592173037203,0.7841439667073163,4.18795904788104,-1.0148592173037203,,,
7,1.32660926472057,1.1747922924431888,3.5184720673344354,-1.32660926472057,,,
8,0.9039374048059637,1.3879930756308816,1.0301338921893726,-0.9039374048059637,,,
9,0.6133195554668253,1.6209398941560225,0.17166244373021816,-0.6133195554668253,,,
10,0.5093501591181848,1.6490825631401755,0.09572750043166293,-0.5093501591181848,,,
11,0.4664751620624553,1.622963173822923,0.17082664506001907,-0.4664751620624553,,,
12,0.5133453299376097,1.658679268576882,0.09271728780797937,-0.5133453299376097,,,
13,0.5877388018098745,1.5355394645170732,0.23712405884130436,-0.5877388018098745,,,
14,0.8595160841941833,1.2747484553943982,0.6724824642085216,-0.8595160841941833,,,
15,0.8277816907926039,1.4897631731900303,0.34161565846509556,-0.8277816907926039,,,
16,0.5984024229374799,1.5224027742039075,0.2765958913686601,-0.5984024229374799,,,
17,0.6050021269104697,1.4964793595400723,0.20221704706041652,-0.6050021269104697,,,
18,0.6698312095620416,1.422424701127139,0.27960388853468676,-0.6698312095620416,,,
19,0.7065228034149517,1.4309345863082192,0.2766207450662147,-0.7065228034149517,,,
20,0.7804931253194809,1.4359144514257258,0.257407201835039,-0.7804931253194809,,,
21,0.6591572111303156,1.6168193979696794,0.08752531981603666,-0.6591572111303156,,,
22,0.5776912265203216,1.5063297586007551,0.28573841347613116,-0.5776912265203216,,,
23,0.6764607056975365,1.329121540893208,0.5076155879280784,-0.6764607056975365,,,
24,0.6735956993970004,1.411871855909174,0.34813407249748707,-0.6735956993970004,,,
