epoch,generator_loss,discriminator_loss,discriminator_real,discriminator_fake,fid_score,is_score_mean,is_score_std
0,-10.945944642117347,16665.84608541509,6.301162675503762,10.945944642117347,2177.7404902494823,1.154436707496643,0.03915207460522652
1,-10.732418907585965,3908.9869005756996,3.2952440320163645,10.732418907585965,,,
2,-2.267289823922579,1279.207306554561,1.3584373875430995,2.267289823922579,,,
3,-1.1408505695321227,5.997527633943865,0.9577050453792977,1.1408505695321227,,,
4,-1.5448185558160465,0.6360661954649033,1.4273418486619027,1.5448185558160465,,,
5,-1.0254776088560942,0.2740630971327905,0.9396073867626968,1.0254776088560942,,,
6,-1.7716996608532325,0.30705801169237784,1.663665963992757,1.7716996608532325,,,
7,-3.116711488173854,0.264659170381805,3.0413902439978173,3.116711488173854,,,
8,-5.8873164788369206,0.2139576360663419,5.9297808126736715,5.8873164788369206,,,
9,-5.229456599040698,0.29751004835450523,5.189545598081363,5.229456599040698,,,
10,-3.4936257405306703,0.23827574626412443,3.326978777685473,3.4936257405306703,,,
11,-3.5178616517974484,0.14092812492882692,3.432436452277245,3.5178616517974484,,,
12,-3.0550525664171624,0.2557975878558492,3.006585579966345,3.0550525664171624,,,
13,-1.7087128148764692,0.1737740290982108,1.6414119270229612,1.7087128148764692,,,
14,2.101774339934671,0.15512363103929386,-2.1130987124978216,-2.101774339934671,,,
15,4.256118807340822,0.06598625047713198,-4.29401862921734,-4.256118807340822,,,
16,6.730154219494071,0.19230159235897884,-6.614678004736541,-6.730154219494071,,,
17,7.0601674177313365,-0.047700771481119175,-6.9925381470752015,-7.0601674177313365,,,
18,6.289472514583219,0.2648905641649679,-6.348183008932298,-6.289472514583219,,,
19,4.4407320086674025,-0.04126500808984362,-4.425250504926969,-4.4407320086674025,,,
20,2.656883482185383,-0.0062009583237350625,-2.9435049966378237,-2.656883482185383,,,
21,3.2144769328941782,0.07540750070925682,-3.2993401470043326,-3.2144769328941782,,,
22,3.815607552887291,0.12684013406115194,-3.9750472267148313,-3.815607552887291,,,
23,3.2482705169547628,-0.07016543553320952,-3.329270382722219,-3.2482705169547628,,,
24,3.6560574941417223,0.07230088825748172,-3.7073824063884797,-3.6560574941417223,,,
