Metric,Source (Synthetic),Target (Real),Domain Gap
accuracy,0.9946511627906977,0.13098039215686275,0.8636707706338349
precision,0.9911504424778761,0.1192368839427663,0.8719135585351098
recall,0.98,1.0,-0.020000000000000018
f1,0.9855436832181018,0.21306818181818182,0.77247550139992
specificity,0.998,0.015111111111111112,0.9828888888888889
sensitivity,0.98,1.0,-0.020000000000000018
roc_auc,0.9995101587301588,0.44206074074074075,0.557449417989418
pr_auc,0.9979314658723608,0.10029951587278688,0.897631949999574
