epoch,generator_loss,discriminator_loss,discriminator_real,discriminator_fake,fid_score,is_score_mean,is_score_std
0,0.024778837618545036,6.752253254028884,0.014576394534246489,-0.024778837618545036,2682.961968505735,1.7303752899169922,0.13421691954135895
1,0.06926629805027253,0.4071654250675982,0.012256899520500818,-0.06926629805027253,,,
2,0.08244255681479858,0.16287391903725537,0.029949723684694618,-0.08244255681479858,,,
3,0.010780296203765001,0.11447252705693245,0.05199641281400214,-0.010780296203765001,,,
4,0.03970916021551767,0.13548016378825362,0.037646141104315495,-0.03970916021551767,,,
5,0.06106912860096517,0.14267242124134843,0.00800818355161358,-0.06106912860096517,,,
6,0.08535426261369139,0.11524734544483098,-0.03742030074565925,-0.08535426261369139,,,
7,0.1014426101253114,0.07650653848593886,-0.052695155969228254,-0.1014426101253114,,,
8,0.13708241491324522,0.07853223942220211,-0.06286346980116585,-0.13708241491324522,,,
9,0.15585980411957612,0.09470747716047546,-0.10285764583386481,-0.15585980411957612,,,
10,0.09034040750173683,0.060210000215606255,-0.04692387989383529,-0.09034040750173683,,,
11,0.0673488200621002,0.07549045471982523,-0.010736187808850611,-0.0673488200621002,,,
12,0.0911736130841415,0.06949236582625996,-0.0384741150139069,-0.0911736130841415,,,
13,0.10403891465499658,0.07195334957743232,-0.06216320960613137,-0.10403891465499658,,,
14,0.07864847262548706,0.04638293910432945,-0.030358535369900477,-0.07864847262548706,,,
15,0.07816092506717806,0.06133337318897247,-0.021221624602648346,-0.07816092506717806,,,
16,0.07983388742220333,0.05646493285894394,-0.047914769309996205,-0.07983388742220333,,,
17,0.07478964843109927,0.05239026578651233,-0.03965447167865932,-0.07478964843109927,,,
18,0.08876827848143876,0.051611597734418785,-0.04783610072494908,-0.08876827848143876,,,
19,0.021961260078982872,0.060465625233270905,-0.017082135447046974,-0.021961260078982872,,,
20,0.0830945640125058,0.04579034083607522,-0.053354984943077645,-0.0830945640125058,,,
21,0.03493412942440376,0.06431136839091778,-0.004564970816400918,-0.03493412942440376,,,
22,0.05256862838921899,0.04680656811053103,-0.03396584356034344,-0.05256862838921899,,,
23,0.032479833578690886,0.0642981475896456,-0.014224960913204333,-0.032479833578690886,,,
24,0.03390165977180004,0.0628440948203206,-0.008540990746537731,-0.03390165977180004,,,
